,Date,Close,PCE,GDPC1,CPIAUCNS,GS10,UNRATE
0,12-31-2012,27.620071411132812,11181.2,17489.852,229.601,1.72,7.9
1,03-31-2013,28.525991439819336,11290.1,17662.4,232.773,1.96,7.5
2,06-30-2013,27.432018280029297,11344.4,17709.671,233.504,2.3,7.5
3,09-30-2013,29.075777053833008,11445.9,17860.45,234.149,2.81,7.2
4,12-31-2013,28.032085418701172,11593.2,18016.147,233.049,2.9,6.7
5,03-31-2014,30.020751953125,11722.3,17953.974,236.293,2.72,6.7
6,06-30-2014,30.85771942138672,11861.7,18185.911,238.343,2.6,6.1
7,09-30-2014,33.40736770629883,11991.4,18406.941,238.031,2.53,5.9
8,12-31-2014,32.726951599121094,12096.1,18500.031,234.812,2.21,5.6
9,03-31-2015,30.958322525024414,12176.1,18666.621,236.119,2.04,5.4
10,06-30-2015,29.965383529663086,12307.9,18782.243,238.638,2.36,5.3
11,09-30-2015,32.74823760986328,12386.4,18857.418,237.945,2.17,5.0
12,12-31-2015,33.683589935302734,12452.0,18892.206,236.525,2.24,5.0
13,03-31-2016,34.83162307739258,12537.0,19001.69,238.132,1.89,5.0
14,06-30-2016,34.18238830566406,12731.2,19062.709,241.018,1.64,4.9
15,09-30-2016,32.00176239013672,12846.6,19197.938,241.428,1.63,5.0
16,12-31-2016,33.83418655395508,13005.9,19304.352,241.432,2.49,4.7
17,03-31-2017,36.66445541381836,13139.9,19398.343,243.801,2.48,4.4
18,06-30-2017,37.053138732910156,13225.2,19506.949,244.955,2.19,4.3
19,09-30-2017,37.53851318359375,13417.3,19660.766,246.819,2.2,4.3
20,12-31-2017,36.0220947265625,13666.1,19882.352,246.524,2.4,4.1
21,03-31-2018,35.83873748779297,13793.2,20044.077,249.554,2.84,4.0
22,06-30-2018,37.47518539428711,13930.4,20150.476,251.989,2.91,4.0
23,09-30-2018,42.75454330444336,14017.8,20276.154,252.439,3.0,3.7
24,12-31-2018,39.09601593017578,14051.6,20304.874,251.233,2.83,3.9
25,03-31-2019,42.364078521728516,14240.1,20415.15,254.202,2.57,3.8
26,06-30-2019,47.8745002746582,14391.2,20584.528,256.143,2.07,3.6
27,09-30-2019,46.81060028076172,14555.6,20817.581,256.759,1.7,3.5
28,12-31-2019,47.585121154785156,14741.3,20951.088,256.974,1.86,3.6
29,03-31-2020,41.526893615722656,13793.0,20665.553,258.115,0.87,4.4
30,06-30-2020,44.448699951171875,14027.1,19034.83,257.797,0.73,11.0
31,09-30-2020,46.72703170776367,14655.0,20511.785,260.28,0.68,7.9
32,12-31-2020,45.07329559326172,14801.8,20724.128,260.474,0.93,6.7
33,03-31-2021,50.86960983276367,15657.6,20990.541,264.877,1.61,6.1
34,06-30-2021,52.239288330078125,16108.5,21309.544,271.696,1.52,5.9
35,09-30-2021,49.024967193603516,16398.9,21483.083,274.31,1.37,4.8
36,12-31-2021,59.069278717041016,16799.2,21847.602,278.802,1.47,3.9
37,03-31-2022,60.15119934082031,17203.6,21738.871,287.504,2.13,3.6
38,06-30-2022,59.014591217041016,17550.0,21708.16,296.311,3.14,3.6
39,09-30-2022,61.2711067199707,17804.0,21851.134,296.808,3.52,3.5
40,12-31-2022,58.14928436279297,17943.6,21989.981,296.797,3.62,3.5
41,03-31-2023,58.29585266113281,18282.6,22112.329,301.836,3.66,3.5
42,06-30-2023,58.910400390625,18485.4,22225.35,305.109,3.75,3.6
43,09-30-2023,56.29338073730469,18853.4,22491.567,307.789,4.38,3.8
